Stage1.Measurement7.DV_ErrorRate,Stage1.Output.Measurement7.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorRPM.C.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorRPM.C.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorRPM.C.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual
0.01,2.94,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.37,69.06,13.89,60.1,9.02,186,421.16,200,78.2,78.4,13.5,65.0,80.0
0.013,2.9299999999999997,11.54,200,963.0,247,72.1,72.4,10.45,75.0,12.59,236,601.11,257,69.27,69.06,13.87,59.8,9.02,186,421.16,200,77.9,78.5,13.81,65.0,80.0
0.015,2.9266666666666663,11.54,200,963.0,247,72.1,72.4,10.48,75.0,12.59,236,601.11,257,69.25,68.94,13.93,59.8,9.02,186,421.16,200,77.9,78.5,13.49,65.0,80.0
0.002,2.965,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.16,69.2,13.92,60.1,9.02,186,421.16,200,77.7,78.5,13.7,65.0,80.0
-0.006,2.988,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.09,69.25,13.92,60.1,9.02,186,421.16,200,77.7,78.6,13.89,65.0,80.0
-0.001,2.9716666666666662,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.09,69.59,13.91,60.2,9.02,186,421.16,200,77.6,78.6,13.72,65.0,80.0
0.003,2.96,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.09,69.62,13.92,60.2,9.02,186,421.16,200,77.6,78.6,13.86,65.0,80.0
0.01,2.940810117,11.54,200,963.0,247,72.10010929,72.55000002,10.48154657,75.02464788,12.59,236,601.11,257,69.02700204,69.65614701,13.92443952,60.20065254,9.02,186,421.16,200,77.60382202,78.59990937,13.71146157,65.0,80.0
0.012,2.9351645484444444,11.54,200,963.0,247,72.1,72.6,10.48,75.0,12.59,236,601.11,257,68.98,69.7,13.91,60.2,9.02,186,421.16,200,77.6,78.6,13.6,65.0,80.0
0.014,2.9296480936,11.54,200,963.0,247,72.1,72.6,10.48,75.1,12.59,236,601.11,257,69.01,69.72,13.87,60.2,9.02,186,421.16,200,77.6,78.6,13.82,65.0,80.0
0.015,2.9251346305454544,11.54,200,963.0,247,72.1,72.6,10.48,75.0,12.59,236,601.11,257,68.97,69.72,13.86,60.2,9.02,186,421.16,200,77.6,78.6,13.73,65.0,80.0
0.018,2.9169528123636357,11.54,200,963.0,247,72.2,72.6,10.48,75.0,12.59,236,601.11,257,69.0,69.92,13.91,60.0,9.02,186,421.16,200,77.7,78.4,13.73,65.0,80.0
0.02,2.911373411333333,11.54,200,963.0,247,72.2,72.6,10.52,75.0,12.59,236,601.11,257,69.01,69.92,13.94,60.0,9.02,186,421.16,200,77.8,78.3,13.8,65.0,80.0
0.026,2.892393306461538,11.54,200,963.0,247,72.20000011,72.62578197,10.54208627,75.0225937,12.59,236,601.11,257,69.01166040000001,69.92985171,13.92298979,60.01701219,9.02,186,421.16,200,77.84496605,78.25508719,13.82717992,65.00000273,80.0
0.027,2.889948239142857,11.54,200,963.0,247,72.20000021,72.67421803,10.54405308,75.06650695,12.59,236,601.11,257,69.00541608,69.94089066,13.86614683,60.04433426,9.02,186,421.16,200,77.81855848,78.28165113,13.81555856,65.00000667,80.0
0.025,2.895951689866666,11.54,200,963.0,247,72.2,72.7,10.52,75.1,12.59,236,601.11,257,68.99,69.92,13.87,60.0,9.02,186,421.16,200,77.8,78.3,13.75,65.0,80.0
0.023,2.9012047092499995,11.54,200,963.0,247,72.2,72.7,10.48,75.1,12.59,236,601.11,257,68.97,69.88,13.93,59.9,9.02,186,421.16,200,77.8,78.3,13.66,65.0,80.0
0.022,2.9058397263529407,11.54,200,963.0,247,72.2,72.7,10.48,75.0,12.59,236,601.11,257,68.97,69.91,13.92,59.9,9.02,186,421.16,200,77.8,78.3,13.72,65.0,80.0
0.022,2.90348678517647,11.54,200,963.0,247,72.2,72.7,10.48,75.0,12.59,236,601.11,257,68.97,69.91,13.86,59.9,9.02,186,421.16,200,77.8,78.3,13.79,65.0,80.0
0.023,2.9011338439999994,11.54,200,963.0,247,72.2,72.7,10.52,75.0,12.59,236,601.11,257,68.97,69.89,13.91,59.9,9.02,186,421.16,200,77.9,78.3,13.62,65.0,80.0
0.022,2.9044041859999994,11.54,200,963.0,247,72.2,72.7,10.52,75.0,12.59,236,601.11,257,68.98,69.81,13.93,59.9,9.02,186,421.16,200,77.9,78.3,13.89,65.0,80.0
0.021,2.907330281473684,11.54,200,963.0,247,72.2,72.7,10.52,75.1,12.59,236,601.11,257,69.0,69.81,13.91,59.9,9.02,186,421.16,200,77.9,78.3,13.6,65.1,80.0
0.022,2.9059637674,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,69.01,69.83,13.89,60.0,9.02,186,421.16,200,78.0,78.3,13.78,65.1,80.0
0.025,2.8959637674,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,68.98,69.69,13.89,60.1,9.02,186,421.16,200,78.1,78.3,13.55,65.1,80.0
0.028,2.8859637674000003,11.54,200,963.0,247,72.3,72.7,10.48,75.1,12.59,236,601.11,257,68.98,69.72,13.94,60.1,9.02,186,421.16,200,78.1,78.3,13.53,65.1,80.0
0.028,2.8856797784761907,11.54,200,963.0,247,72.3,72.7,10.45,75.1,12.59,236,601.11,257,68.97,69.72,13.93,60.1,9.02,186,421.16,200,78.1,78.3,13.62,65.1,80.0
0.028,2.8854216067272733,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,68.97,69.71,13.9,60.2,9.02,186,421.16,200,78.1,78.3,13.47,65.1,80.0
0.028,2.8858761521818184,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,68.98,69.7,13.85,60.2,9.02,186,421.16,200,78.2,78.3,13.62,65.1,80.0
0.027,2.8901330672380956,11.54,200,963.0,247,72.3,72.7,10.52,75.1,12.59,236,601.11,257,68.99,69.71,13.94,60.2,9.02,186,421.16,200,78.2,78.3,13.7,65.1,80.0
0.027,2.888704495809524,11.54,200,963.0,247,72.3,72.7,10.48,75.1,12.59,236,601.11,257,68.97,69.62,13.92,60.2,9.02,186,421.16,200,78.2,78.3,13.7,65.1,80.0
0.028,2.887752114857143,11.54,200,963.0,247,72.3,72.7,10.48,75.1,12.59,236,601.11,257,68.97,69.62,13.87,60.3,9.02,186,421.16,200,78.3,78.3,13.66,65.1,80.0
0.028,2.8867997339047617,11.54,200,963.0,247,72.3,72.6,10.48,75.1,12.59,236,601.11,257,68.97,69.54,13.85,60.3,9.02,186,421.16,200,78.3,78.3,13.66,65.1,80.0
0.028,2.8878542914545453,11.54,200,963.0,247,72.3,72.6,10.52,75.1,12.59,236,601.11,257,68.97,69.47,13.86,60.3,9.02,186,421.16,200,78.3,78.3,13.69,65.1,80.1
0.027,2.888817148347826,11.54,200,963.0,247,72.3,72.6,10.52,75.1,12.59,236,601.11,257,68.98,69.53,13.91,60.3,9.02,186,421.16,200,78.3,78.3,13.66,65.1,80.0
0.027,2.8884497671666662,11.54,200,963.0,247,72.4,72.6,10.52,75.1,12.59,236,601.11,257,68.94,69.47,13.89,60.3,9.02,186,421.16,200,78.3,78.3,13.62,65.1,80.0
0.028,2.8881117764799997,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,69.01,69.44,13.92,60.3,9.02,186,421.16,200,78.4,78.3,13.75,65.1,80.0
0.028,2.8877997850769224,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,68.98,69.42,13.87,60.3,9.02,186,421.16,200,78.4,78.3,13.67,65.1,80.0
0.029,2.885288681925925,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,69.0,69.43,13.92,60.2,9.02,186,421.16,200,78.4,78.3,13.75,65.1,80.0
0.029,2.882956943285713,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,68.97,69.43,13.93,60.2,9.02,186,421.16,200,78.4,78.3,13.63,65.1,80.0
0.029,2.8831998073103438,11.54,200,963.0,247,72.4,72.6,10.48,75.1,12.59,236,601.11,257,69.0,69.32,13.91,60.2,9.02,186,421.16,200,78.5,78.3,13.76,65.1,80.1
0.029,2.884579117655172,11.54,200,963.0,247,72.4,72.6,10.52,75.1,12.59,236,601.11,257,68.97,69.3,13.91,60.1,9.02,186,421.16,200,78.5,78.3,13.73,65.1,80.1
0.028,2.8859584279999995,11.54,200,963.0,247,72.4,72.6,10.52,75.1,12.59,236,601.11,257,68.95,69.33,13.91,60.1,9.02,186,421.16,200,78.5,78.3,13.63,65.1,80.1
0.026,2.8918518518518512,11.54,200,963.0,247,72.4,72.5,10.52,75.1,12.59,236,601.11,257,69.0,69.3,13.85,60.0,9.02,186,421.16,200,78.5,78.3,13.66,65.1,80.1
0.027,2.888518518518518,11.54,200,963.0,247,72.4,72.5,10.48,75.1,12.59,236,601.11,257,68.95,69.22,13.92,60.0,9.02,186,421.16,200,78.5,78.3,13.78,65.1,80.1
0.029,2.884074074074073,11.54,200,963.0,247,72.4,72.5,10.48,75.1,12.59,236,601.11,257,68.97,69.2,13.87,59.9,9.02,186,421.16,200,78.6,78.3,13.56,65.1,80.1
0.029,2.8833333333333324,11.54,200,963.0,247,72.4,72.5,10.52,75.1,12.59,236,601.11,257,68.97,69.09,13.87,59.9,9.02,186,421.16,200,78.6,78.3,13.63,65.1,80.1
0.029,2.882592592592592,11.54,200,963.0,247,72.4,72.5,10.52,75.1,12.59,236,601.11,257,68.97,69.06,13.89,59.9,9.02,186,421.16,200,78.6,78.3,13.82,65.1,80.1
0.03,2.8799999999999994,11.54,200,963.0,247,72.4,72.5,10.52,75.1,12.59,236,601.11,257,68.97,69.06,13.91,59.8,9.02,186,421.16,200,78.6,78.3,13.67,65.1,80.1
0.031,2.877407407407407,11.54,200,963.0,247,72.4,72.5,10.52,75.1,12.59,236,601.11,257,69.01,69.07,13.85,59.8,9.02,186,421.16,200,78.6,78.3,13.64,65.1,80.1
