Stage2.Measurement13.DV_ErrorRate,Stage2.Output.Measurement13.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorRPM.C.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorRPM.C.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorRPM.C.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual,Machine4.Temperature1.C.Actual,Machine4.Temperature2.C.Actual,Machine4.Pressure.C.Actual,Machine4.Temperature3.C.Actual,Machine4.Temperature4.C.Actual,Machine4.Temperature5.C.Actual,Machine5.Temperature1.C.Actual,Machine5.Temperature2.C.Actual,Machine5.Temperature3.C.Actual,Machine5.Temperature4.C.Actual,Machine5.Temperature5.C.Actual,Machine5.Temperature6.C.Actual
-0.017,2.94,11.54,200,963.0,247,72.0,72.1,10.48,75.1,12.59,236,601.11,257,69.09,69.41,13.87,60.4,9.02,186,421.16,200,78.2,78.3,13.75,65.1,80.1,363.0,368.0,18.0,314.0,18.0,306.0,309.9,289.9,264.5,237.6,245.1,65.2
0.194,2.33,11.54,200,963.0,247,71.9,72.3,10.52,75.1,12.59,236,601.11,257,68.97,69.72,13.89,59.7,9.02,186,421.16,200,78.4,78.0,13.73,65.1,80.1,363.0,366.0,17.0,315.0,17.0,304.0,310.0,289.9,264.5,237.6,245.0,65.1
0.106,2.5833333333333335,11.54,200,963.0,247,71.9,72.3,10.52,75.1,12.59,236,601.11,257,69.01,69.72,13.86,59.6,9.02,186,421.16,200,78.4,77.9,13.85,65.1,80.1,363.0,366.0,17.0,315.0,17.0,304.0,310.0,289.9,264.5,237.6,245.0,65.1
0.079,2.6625,11.54,200,963.0,247,71.9,72.3,10.52,75.1,12.59,236,601.11,257,68.97,69.69,13.86,59.6,9.02,186,421.16,200,78.4,77.9,13.67,65.1,80.1,363.0,366.0,17.0,315.0,17.0,304.0,310.0,289.9,264.5,237.6,245.0,65.1
0.1,2.6,11.54,200,963.0,247,71.9,72.3,10.48,75.1,12.59,236,601.11,257,68.99,69.63,13.85,59.6,9.02,186,421.16,200,78.4,77.9,13.72,65.1,80.1,363.0,365.0,17.0,315.0,17.0,304.0,310.0,289.9,264.5,237.7,245.0,65.1
0.091,2.6266666666666665,11.54,200,963.0,247,71.9,72.3,10.48,75.1,12.59,236,601.11,257,68.98,69.6,13.9,59.6,9.02,186,421.16,200,78.4,77.9,13.62,65.1,80.1,363.0,365.0,17.0,315.0,17.0,304.0,310.0,289.9,264.5,237.7,245.0,65.0
0.102,2.595714285714286,11.54,200,963.0,247,71.9,72.3,10.52,75.1,12.59,236,601.11,257,68.97,69.6,13.9,59.6,9.02,186,421.16,200,78.4,77.9,13.66,65.1,80.1,363.0,365.0,17.0,315.0,17.0,304.0,310.0,289.9,264.5,237.7,245.0,65.0
-0.063,3.07125,11.54,200,963.0,247,71.9,72.4,10.48,75.1,12.59,236,601.11,257,68.99,69.59,13.91,59.7,9.02,186,421.16,200,78.4,77.9,13.62,65.1,80.1,363.0,365.0,17.0,315.0,17.0,304.0,310.0,289.9,264.6,237.7,245.0,65.0
-0.119,3.2344444444444442,11.54,200,963.0,247,71.9,72.4,10.52,75.1,12.59,236,601.11,257,68.97,69.61,13.91,59.7,9.02,186,421.16,200,78.4,78.0,13.69,65.1,80.1,363.0,365.0,17.0,314.0,17.0,304.0,310.0,289.9,264.6,237.7,245.0,65.0
-0.164,3.3649999999999998,11.54,200,963.0,247,71.9,72.4,10.48,75.1,12.59,236,601.11,257,68.99,69.52,13.89,59.8,9.02,186,421.16,200,78.4,78.0,13.66,65.1,80.1,363.0,364.0,17.0,314.0,17.0,304.0,310.0,289.9,264.6,237.7,245.0,65.0
