Stage1.Measurement11.DV_ErrorRate,Stage1.Output.Measurement11.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorRPM.C.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorRPM.C.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorRPM.C.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual
0.101,5.54,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.37,69.06,13.89,60.1,9.02,186,421.16,200,78.2,78.4,13.5,65.0,80.0
0.134,5.335,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.35,69.05,13.89,60.0,9.02,186,421.16,200,78.1,78.4,13.59,65.0,80.0
0.145,5.266666666666667,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.37,69.07,13.85,60.0,9.02,186,421.16,200,78.1,78.5,14.0,65.0,80.0
0.151,5.2325,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.38,69.08,13.9,59.9,9.02,186,421.16,200,78.1,78.5,13.67,65.0,80.0
0.153,5.215999999999999,11.54,200,963.0,247,72.1,72.4,10.48,75.1,12.59,236,601.11,257,69.4,69.07,13.89,59.9,9.02,186,421.16,200,78.0,78.5,13.72,65.0,80.0
0.155,5.204999999999999,11.54,200,963.0,247,72.1,72.4,10.48,75.1,12.59,236,601.11,257,69.27,69.06,13.87,59.8,9.02,186,421.16,200,78.0,78.5,13.76,65.0,80.0
0.152,5.224285714285713,11.54,200,963.0,247,72.1,72.4,10.45,75.0,12.59,236,601.11,257,69.27,69.06,13.87,59.8,9.02,186,421.16,200,77.9,78.5,13.81,65.0,80.0
0.15,5.23875,11.54,200,963.0,247,72.1,72.4,10.48,75.0,12.59,236,601.11,257,69.25,68.94,13.93,59.8,9.02,186,421.16,200,77.9,78.5,13.49,65.0,80.0
0.147,5.253333333333333,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.16,69.06,13.86,60.0,9.02,186,421.16,200,77.7,78.5,13.6,65.0,80.0
0.145,5.264999999999999,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.16,69.06,13.87,60.0,9.02,186,421.16,200,77.7,78.5,13.4,65.0,80.0
0.144,5.273636363636363,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.16,69.2,13.92,60.1,9.02,186,421.16,200,77.7,78.5,13.7,65.0,80.0
0.143,5.280833333333333,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.09,69.25,13.92,60.1,9.02,186,421.16,200,77.7,78.6,13.89,65.0,80.0
0.142,5.287692307692307,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.07,69.41,13.91,60.1,9.02,186,421.16,200,77.7,78.6,13.68,65.0,80.0
0.141,5.293571428571428,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.09,69.43,13.89,60.2,9.02,186,421.16,200,77.7,78.6,13.73,65.0,80.0
0.14,5.300666666666667,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.09,69.59,13.91,60.2,9.02,186,421.16,200,77.6,78.6,13.72,65.0,80.0
0.138,5.306875000000001,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.09,69.62,13.92,60.2,9.02,186,421.16,200,77.6,78.6,13.86,65.0,80.0
0.138,5.3120844916470595,11.54,200,963.0,247,72.10010929,72.55000002,10.48154657,75.02464788,12.59,236,601.11,257,69.02700204,69.65614701,13.92443952,60.20065254,9.02,186,421.16,200,77.60382202,78.59990937,13.71146157,65.0,80.0
0.137,5.3169686865555565,11.54,200,963.0,247,72.1,72.6,10.48,75.0,12.59,236,601.11,257,68.98,69.7,13.91,60.2,9.02,186,421.16,200,77.6,78.6,13.6,65.0,80.0
0.136,5.3229177030526325,11.54,200,963.0,247,72.1,72.6,10.48,75.1,12.59,236,601.11,257,69.01,69.72,13.87,60.2,9.02,186,421.16,200,77.6,78.6,13.82,65.0,80.0
0.135,5.328271817900001,11.54,200,963.0,247,72.1,72.6,10.48,75.0,12.59,236,601.11,257,68.97,69.72,13.86,60.2,9.02,186,421.16,200,77.6,78.6,13.73,65.0,80.0
0.137,5.317401731333335,11.54,200,963.0,247,72.1,72.6,10.48,75.0,12.59,236,601.11,257,68.99,69.72,13.89,60.2,9.02,186,421.16,200,77.6,78.6,13.56,65.0,80.0
0.138,5.3075198344545464,11.54,200,963.0,247,72.2,72.6,10.52,75.0,12.59,236,601.11,257,68.97,69.69,13.93,60.2,9.02,186,421.16,200,77.7,78.5,13.66,65.0,80.0
0.138,5.312410276434783,11.54,200,963.0,247,72.2,72.6,10.52,75.0,12.59,236,601.11,257,68.96,69.8,13.94,60.1,9.02,186,421.16,200,77.7,78.4,13.53,65.0,80.0
0.138,5.307192885130435,11.54,200,963.0,247,72.2,72.6,10.45,75.0,12.59,236,601.11,257,68.98,69.92,13.9,60.0,9.02,186,421.16,200,77.7,78.4,13.6,65.0,80.0
0.137,5.318932015565219,11.54,200,963.0,247,72.2,72.6,10.48,75.0,12.59,236,601.11,257,69.0,69.92,13.91,60.0,9.02,186,421.16,200,77.7,78.4,13.73,65.0,80.0
0.135,5.330671146000001,11.54,200,963.0,247,72.2,72.6,10.52,75.0,12.59,236,601.11,257,69.01,69.92,13.94,60.0,9.02,186,421.16,200,77.8,78.3,13.8,65.0,80.0
0.133,5.34194608730435,11.54,200,963.0,247,72.20000011,72.62578197,10.54208627,75.0225937,12.59,236,601.11,257,69.01166040000001,69.92985171,13.92298979,60.01701219,9.02,186,421.16,200,77.84496605,78.25508719,13.82717992,65.00000273,80.0
0.132,5.344188167916667,11.54,200,963.0,247,72.20000021,72.67421803,10.54405308,75.06650695,12.59,236,601.11,257,69.00541608,69.94089066,13.86614683,60.04433426,9.02,186,421.16,200,77.81855848,78.28165113,13.81555856,65.00000667,80.0
0.132,5.346420641200001,11.54,200,963.0,247,72.2,72.7,10.52,75.1,12.59,236,601.11,257,68.99,69.92,13.87,60.0,9.02,186,421.16,200,77.8,78.3,13.75,65.0,80.0
0.13,5.356420641200001,11.54,200,963.0,247,72.2,72.7,10.48,75.1,12.59,236,601.11,257,68.97,69.88,13.93,59.9,9.02,186,421.16,200,77.8,78.3,13.66,65.0,80.0
0.129,5.366420641200001,11.54,200,963.0,247,72.2,72.7,10.48,75.0,12.59,236,601.11,257,68.97,69.91,13.92,59.9,9.02,186,421.16,200,77.8,78.3,13.72,65.0,80.0
0.128,5.368820641200001,11.54,200,963.0,247,72.2,72.7,10.48,75.0,12.59,236,601.11,257,68.97,69.91,13.86,59.9,9.02,186,421.16,200,77.8,78.3,13.79,65.0,80.0
0.128,5.371220641200001,11.54,200,963.0,247,72.2,72.7,10.52,75.0,12.59,236,601.11,257,68.97,69.89,13.91,59.9,9.02,186,421.16,200,77.9,78.3,13.62,65.0,80.0
0.129,5.364250616538462,11.54,200,963.0,247,72.2,72.7,10.52,75.0,12.59,236,601.11,257,68.98,69.81,13.93,59.9,9.02,186,421.16,200,77.9,78.3,13.89,65.0,80.0
