Stage1.Measurement9.DV_ErrorRate,Stage1.Output.Measurement9.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorRPM.C.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorRPM.C.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorRPM.C.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual
0.114,17.3,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.37,69.06,13.89,60.1,9.02,186,421.16,200,78.2,78.4,13.5,65.0,80.0
0.113,17.305,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.35,69.05,13.89,60.0,9.02,186,421.16,200,78.1,78.4,13.59,65.0,80.0
0.113,17.30666666666667,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.37,69.07,13.85,60.0,9.02,186,421.16,200,78.1,78.5,14.0,65.0,80.0
0.113,17.3075,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.38,69.08,13.9,59.9,9.02,186,421.16,200,78.1,78.5,13.67,65.0,80.0
0.113,17.306,11.54,200,963.0,247,72.1,72.4,10.48,75.1,12.59,236,601.11,257,69.4,69.07,13.89,59.9,9.02,186,421.16,200,78.0,78.5,13.72,65.0,80.0
0.113,17.305,11.54,200,963.0,247,72.1,72.4,10.48,75.1,12.59,236,601.11,257,69.27,69.06,13.87,59.8,9.02,186,421.16,200,78.0,78.5,13.76,65.0,80.0
0.113,17.305714285714284,11.54,200,963.0,247,72.1,72.4,10.45,75.0,12.59,236,601.11,257,69.27,69.06,13.87,59.8,9.02,186,421.16,200,77.9,78.5,13.81,65.0,80.0
0.113,17.30625,11.54,200,963.0,247,72.1,72.4,10.48,75.0,12.59,236,601.11,257,69.25,68.94,13.93,59.8,9.02,186,421.16,200,77.9,78.5,13.49,65.0,80.0
0.113,17.31,11.54,200,963.0,247,72.1,72.4,10.48,75.0,12.59,236,601.11,257,69.25,69.04,13.93,59.9,9.02,186,421.16,200,77.9,78.5,13.59,65.0,80.0
0.113,17.313,11.54,200,963.0,247,72.1,72.4,10.52,75.0,12.59,236,601.11,257,69.25,69.04,13.92,59.9,9.02,186,421.16,200,77.8,78.5,13.6,65.0,80.0
