Stage1.Measurement10.DV_ErrorRate,Stage1.Output.Measurement10.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorRPM.C.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorRPM.C.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorRPM.C.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual
0.068,8.06,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.37,69.06,13.89,60.1,9.02,186,421.16,200,78.2,78.4,13.5,65.0,80.0
0.098,7.805,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.35,69.05,13.89,60.0,9.02,186,421.16,200,78.1,78.4,13.59,65.0,80.0
0.108,7.72,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.37,69.07,13.85,60.0,9.02,186,421.16,200,78.1,78.5,14.0,65.0,80.0
0.112,7.6775,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.38,69.08,13.9,59.9,9.02,186,421.16,200,78.1,78.5,13.67,65.0,80.0
0.116,7.65,11.54,200,963.0,247,72.1,72.4,10.48,75.1,12.59,236,601.11,257,69.4,69.07,13.89,59.9,9.02,186,421.16,200,78.0,78.5,13.72,65.0,80.0
0.118,7.631666666666667,11.54,200,963.0,247,72.1,72.4,10.48,75.1,12.59,236,601.11,257,69.27,69.06,13.87,59.8,9.02,186,421.16,200,78.0,78.5,13.76,65.0,80.0
0.112,7.68,11.54,200,963.0,247,72.1,72.4,10.45,75.0,12.59,236,601.11,257,69.27,69.06,13.87,59.8,9.02,186,421.16,200,77.9,78.5,13.81,65.0,80.0
0.108,7.71625,11.54,200,963.0,247,72.1,72.4,10.48,75.0,12.59,236,601.11,257,69.25,68.94,13.93,59.8,9.02,186,421.16,200,77.9,78.5,13.49,65.0,80.0
0.106,7.7333333333333325,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.16,69.06,13.86,60.0,9.02,186,421.16,200,77.7,78.5,13.6,65.0,80.0
0.104,7.747,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.16,69.06,13.87,60.0,9.02,186,421.16,200,77.7,78.5,13.4,65.0,80.0
0.101,7.777272727272727,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.16,69.2,13.92,60.1,9.02,186,421.16,200,77.7,78.5,13.7,65.0,80.0
0.098,7.802499999999999,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.09,69.25,13.92,60.1,9.02,186,421.16,200,77.7,78.6,13.89,65.0,80.0
0.096,7.818461538461539,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.07,69.41,13.91,60.1,9.02,186,421.16,200,77.7,78.6,13.68,65.0,80.0
0.095,7.832142857142857,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.09,69.43,13.89,60.2,9.02,186,421.16,200,77.7,78.6,13.73,65.0,80.0
0.093,7.843333333333334,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.09,69.59,13.91,60.2,9.02,186,421.16,200,77.6,78.6,13.72,65.0,80.0
0.092,7.853125,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.09,69.62,13.92,60.2,9.02,186,421.16,200,77.6,78.6,13.86,65.0,80.0
0.091,7.866126703411766,11.54,200,963.0,247,72.10010929,72.55000002,10.48154657,75.02464788,12.59,236,601.11,257,69.02700204,69.65614701,13.92443952,60.20065254,9.02,186,421.16,200,77.60382202,78.59990937,13.71146157,65.0,80.0
