Stage1.Measurement6.DV_ErrorRate,Stage1.Output.Measurement6.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorRPM.C.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorRPM.C.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorRPM.C.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual
0.101,3.82,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.37,69.06,13.89,60.1,9.02,186,421.16,200,78.2,78.4,13.5,65.0,80.0
0.084,3.895,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.35,69.05,13.89,60.0,9.02,186,421.16,200,78.1,78.4,13.59,65.0,80.0
0.078,3.92,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.37,69.07,13.85,60.0,9.02,186,421.16,200,78.1,78.5,14.0,65.0,80.0
0.075,3.9325,11.54,200,963.0,247,72.0,72.3,10.48,75.1,12.59,236,601.11,257,69.38,69.08,13.9,59.9,9.02,186,421.16,200,78.1,78.5,13.67,65.0,80.0
0.078,3.9200000000000004,11.54,200,963.0,247,72.1,72.4,10.48,75.1,12.59,236,601.11,257,69.4,69.07,13.89,59.9,9.02,186,421.16,200,78.0,78.5,13.72,65.0,80.0
0.08,3.911666666666667,11.54,200,963.0,247,72.1,72.4,10.48,75.1,12.59,236,601.11,257,69.27,69.06,13.87,59.8,9.02,186,421.16,200,78.0,78.5,13.76,65.0,80.0
0.087,3.878571428571429,11.54,200,963.0,247,72.1,72.4,10.45,75.0,12.59,236,601.11,257,69.27,69.06,13.87,59.8,9.02,186,421.16,200,77.9,78.5,13.81,65.0,80.0
0.093,3.8537500000000002,11.54,200,963.0,247,72.1,72.4,10.48,75.0,12.59,236,601.11,257,69.25,68.94,13.93,59.8,9.02,186,421.16,200,77.9,78.5,13.49,65.0,80.0
0.15,3.611111111111111,11.54,200,963.0,247,72.1,72.4,10.48,75.0,12.59,236,601.11,257,69.25,69.04,13.93,59.9,9.02,186,421.16,200,77.9,78.5,13.59,65.0,80.0
0.196,3.4170000000000003,11.54,200,963.0,247,72.1,72.4,10.52,75.0,12.59,236,601.11,257,69.25,69.04,13.92,59.9,9.02,186,421.16,200,77.8,78.5,13.6,65.0,80.0
0.205,3.3790909090909094,11.54,200,963.0,247,72.1,72.4,10.48,75.1,12.59,236,601.11,257,69.26,69.06,13.89,59.9,9.02,186,421.16,200,77.8,78.5,13.99,65.0,80.0
0.212,3.3475,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.18,69.08,13.91,60.0,9.02,186,421.16,200,77.8,78.5,13.54,65.0,80.0
0.217,3.3261538461538462,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.16,69.06,13.86,60.0,9.02,186,421.16,200,77.7,78.5,13.6,65.0,80.0
0.222,3.307857142857143,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.16,69.06,13.87,60.0,9.02,186,421.16,200,77.7,78.5,13.4,65.0,80.0
0.215,3.3346666666666667,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.16,69.2,13.92,60.1,9.02,186,421.16,200,77.7,78.5,13.7,65.0,80.0
0.21,3.3581250000000002,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.09,69.25,13.92,60.1,9.02,186,421.16,200,77.7,78.6,13.89,65.0,80.0
0.206,3.373529411764706,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.07,69.41,13.91,60.1,9.02,186,421.16,200,77.7,78.6,13.68,65.0,80.0
0.203,3.3872222222222224,11.54,200,963.0,247,72.1,72.5,10.52,75.1,12.59,236,601.11,257,69.09,69.43,13.89,60.2,9.02,186,421.16,200,77.7,78.6,13.73,65.0,80.0
0.199,3.405263157894737,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.09,69.59,13.91,60.2,9.02,186,421.16,200,77.6,78.6,13.72,65.0,80.0
0.195,3.4215000000000004,11.54,200,963.0,247,72.1,72.5,10.48,75.1,12.59,236,601.11,257,69.09,69.62,13.92,60.2,9.02,186,421.16,200,77.6,78.6,13.86,65.0,80.0
0.192,3.434495097238096,11.54,200,963.0,247,72.10010929,72.55000002,10.48154657,75.02464788,12.59,236,601.11,257,69.02700204,69.65614701,13.92443952,60.20065254,9.02,186,421.16,200,77.60382202,78.59990937,13.71146157,65.0,80.0
0.189,3.447927138272728,11.54,200,963.0,247,72.1,72.6,10.48,75.0,12.59,236,601.11,257,68.98,69.7,13.91,60.2,9.02,186,421.16,200,77.6,78.6,13.6,65.0,80.0
0.184,3.4693216105217397,11.54,200,963.0,247,72.1,72.6,10.48,75.1,12.59,236,601.11,257,69.01,69.72,13.87,60.2,9.02,186,421.16,200,77.6,78.6,13.82,65.0,80.0
0.179,3.4889332100833337,11.54,200,963.0,247,72.1,72.6,10.48,75.0,12.59,236,601.11,257,68.97,69.72,13.86,60.2,9.02,186,421.16,200,77.6,78.6,13.73,65.0,80.0
0.195,3.4221758816800003,11.54,200,963.0,247,72.1,72.6,10.48,75.0,12.59,236,601.11,257,68.99,69.72,13.89,60.2,9.02,186,421.16,200,77.6,78.6,13.56,65.0,80.0
0.209,3.3605537323846155,11.54,200,963.0,247,72.2,72.6,10.52,75.0,12.59,236,601.11,257,68.97,69.69,13.93,60.2,9.02,186,421.16,200,77.7,78.5,13.66,65.0,80.0
0.207,3.368311001555555,11.54,200,963.0,247,72.2,72.6,10.52,75.0,12.59,236,601.11,257,68.96,69.8,13.94,60.1,9.02,186,421.16,200,77.7,78.4,13.53,65.0,80.0
0.21,3.359051742296296,11.54,200,963.0,247,72.2,72.6,10.45,75.0,12.59,236,601.11,257,68.98,69.92,13.9,60.0,9.02,186,421.16,200,77.7,78.4,13.6,65.0,80.0
0.21,3.3575702608148146,11.54,200,963.0,247,72.2,72.6,10.48,75.0,12.59,236,601.11,257,69.0,69.92,13.91,60.0,9.02,186,421.16,200,77.7,78.4,13.73,65.0,80.0
0.21,3.3560887793333336,11.54,200,963.0,247,72.2,72.6,10.52,75.0,12.59,236,601.11,257,69.01,69.92,13.94,60.0,9.02,186,421.16,200,77.8,78.3,13.8,65.0,80.0
0.211,3.354127502703704,11.54,200,963.0,247,72.20000011,72.62578197,10.54208627,75.0225937,12.59,236,601.11,257,69.01166040000001,69.92985171,13.92298979,60.01701219,9.02,186,421.16,200,77.84496605,78.25508719,13.82717992,65.00000273,80.0
